INSERT INTO BookCopy VALUES ('BC00001', 'GOOD', 'AVAILABLE', 'BK00118');
INSERT INTO BookCopy VALUES ('BC00290', 'GOOD', 'AVAILABLE', 'BK00049');
INSERT INTO BookCopy VALUES ('BC00291', 'GOOD', 'AVAILABLE', 'BK00067');
INSERT INTO BookCopy VALUES ('BC00292', 'LOST', 'UNAVAILABLE', 'BK00118');
INSERT INTO BookCopy VALUES ('BC00293', 'GOOD', 'AVAILABLE', 'BK00133');
INSERT INTO BookCopy VALUES ('BC00294', 'GOOD', 'AVAILABLE', 'BK00102');
INSERT INTO BookCopy VALUES ('BC00295', 'GOOD', 'AVAILABLE', 'BK00134');
INSERT INTO BookCopy VALUES ('BC00296', 'GOOD', 'AVAILABLE', 'BK00018');
INSERT INTO BookCopy VALUES ('BC00297', 'GOOD', 'AVAILABLE', 'BK00007');
INSERT INTO BookCopy VALUES ('BC00298', 'GOOD', 'AVAILABLE', 'BK00006');
INSERT INTO BookCopy VALUES ('BC00299', 'GOOD', 'AVAILABLE', 'BK00067');
INSERT INTO BookCopy VALUES ('BC00300', 'GOOD', 'AVAILABLE', 'BK00107');
INSERT INTO BookCopy VALUES ('BC00301', 'LOST', 'UNAVAILABLE', 'BK00040');
INSERT INTO BookCopy VALUES ('BC00302', 'GOOD', 'AVAILABLE', 'BK00015');
INSERT INTO BookCopy VALUES ('BC00303', 'GOOD', 'AVAILABLE', 'BK00072');
INSERT INTO BookCopy VALUES ('BC00304', 'GOOD', 'AVAILABLE', 'BK00124');
INSERT INTO BookCopy VALUES ('BC00305', 'GOOD', 'AVAILABLE', 'BK00118');
INSERT INTO BookCopy VALUES ('BC00306', 'GOOD', 'AVAILABLE', 'BK00062');
INSERT INTO BookCopy VALUES ('BC00307', 'GOOD', 'AVAILABLE', 'BK00126');
INSERT INTO BookCopy VALUES ('BC00308', 'GOOD', 'AVAILABLE', 'BK00033');
INSERT INTO BookCopy VALUES ('BC00309', 'GOOD', 'BORROWED', 'BK00145');
INSERT INTO BookCopy VALUES ('BC00310', 'GOOD', 'AVAILABLE', 'BK00102');
INSERT INTO BookCopy VALUES ('BC00311', 'LOST', 'UNAVAILABLE', 'BK00023');
INSERT INTO BookCopy VALUES ('BC00312', 'GOOD', 'AVAILABLE', 'BK00105');
INSERT INTO BookCopy VALUES ('BC00313', 'GOOD', 'AVAILABLE', 'BK00011');
INSERT INTO BookCopy VALUES ('BC00314', 'GOOD', 'AVAILABLE', 'BK00010');
INSERT INTO BookCopy VALUES ('BC00315', 'GOOD', 'BORROWED', 'BK00108');
INSERT INTO BookCopy VALUES ('BC00316', 'LOST', 'UNAVAILABLE', 'BK00089');
INSERT INTO BookCopy VALUES ('BC00317', 'GOOD', 'AVAILABLE', 'BK00031');
INSERT INTO BookCopy VALUES ('BC00318', 'GOOD', 'AVAILABLE', 'BK00033');
INSERT INTO BookCopy VALUES ('BC00319', 'GOOD', 'RESERVED', 'BK00058');
INSERT INTO BookCopy VALUES ('BC00320', 'HEAVYDMG', 'UNAVAILABLE', 'BK00144');
INSERT INTO BookCopy VALUES ('BC00321', 'GOOD', 'AVAILABLE', 'BK00005');
INSERT INTO BookCopy VALUES ('BC00322', 'GOOD', 'AVAILABLE', 'BK00058');
INSERT INTO BookCopy VALUES ('BC00323', 'GOOD', 'AVAILABLE', 'BK00042');
INSERT INTO BookCopy VALUES ('BC00324', 'GOOD', 'RESERVED', 'BK00143');
INSERT INTO BookCopy VALUES ('BC00325', 'GOOD', 'AVAILABLE', 'BK00039');
INSERT INTO BookCopy VALUES ('BC00326', 'GOOD', 'AVAILABLE', 'BK00031');
INSERT INTO BookCopy VALUES ('BC00327', 'GOOD', 'AVAILABLE', 'BK00041');
INSERT INTO BookCopy VALUES ('BC00328', 'GOOD', 'AVAILABLE', 'BK00093');
INSERT INTO BookCopy VALUES ('BC00329', 'GOOD', 'RESERVED', 'BK00063');
INSERT INTO BookCopy VALUES ('BC00330', 'GOOD', 'AVAILABLE', 'BK00146');
INSERT INTO BookCopy VALUES ('BC00331', 'GOOD', 'AVAILABLE', 'BK00041');
INSERT INTO BookCopy VALUES ('BC00332', 'GOOD', 'RESERVED', 'BK00141');
INSERT INTO BookCopy VALUES ('BC00333', 'GOOD', 'BORROWED', 'BK00068');
INSERT INTO BookCopy VALUES ('BC00334', 'GOOD', 'AVAILABLE', 'BK00131');
INSERT INTO BookCopy VALUES ('BC00335', 'GOOD', 'AVAILABLE', 'BK00124');
INSERT INTO BookCopy VALUES ('BC00336', 'GOOD', 'AVAILABLE', 'BK00120');
INSERT INTO BookCopy VALUES ('BC00337', 'GOOD', 'AVAILABLE', 'BK00132');
INSERT INTO BookCopy VALUES ('BC00338', 'GOOD', 'BORROWED', 'BK00047');
INSERT INTO BookCopy VALUES ('BC00339', 'GOOD', 'AVAILABLE', 'BK00019');
INSERT INTO BookCopy VALUES ('BC00340', 'GOOD', 'AVAILABLE', 'BK00029');
INSERT INTO BookCopy VALUES ('BC00341', 'GOOD', 'AVAILABLE', 'BK00104');
INSERT INTO BookCopy VALUES ('BC00342', 'GOOD', 'AVAILABLE', 'BK00051');
INSERT INTO BookCopy VALUES ('BC00343', 'GOOD', 'AVAILABLE', 'BK00114');
INSERT INTO BookCopy VALUES ('BC00344', 'GOOD', 'AVAILABLE', 'BK00066');
INSERT INTO BookCopy VALUES ('BC00345', 'GOOD', 'AVAILABLE', 'BK00003');
INSERT INTO BookCopy VALUES ('BC00346', 'GOOD', 'AVAILABLE', 'BK00069');
INSERT INTO BookCopy VALUES ('BC00347', 'GOOD', 'AVAILABLE', 'BK00071');
INSERT INTO BookCopy VALUES ('BC00348', 'GOOD', 'AVAILABLE', 'BK00040');
INSERT INTO BookCopy VALUES ('BC00349', 'GOOD', 'AVAILABLE', 'BK00015');
INSERT INTO BookCopy VALUES ('BC00350', 'GOOD', 'AVAILABLE', 'BK00023');
INSERT INTO BookCopy VALUES ('BC00351', 'GOOD', 'AVAILABLE', 'BK00049');
INSERT INTO BookCopy VALUES ('BC00352', 'GOOD', 'AVAILABLE', 'BK00008');
INSERT INTO BookCopy VALUES ('BC00353', 'GOOD', 'AVAILABLE', 'BK00053');
INSERT INTO BookCopy VALUES ('BC00354', 'LOST', 'UNAVAILABLE', 'BK00124');
INSERT INTO BookCopy VALUES ('BC00355', 'GOOD', 'AVAILABLE', 'BK00055');
INSERT INTO BookCopy VALUES ('BC00356', 'GOOD', 'AVAILABLE', 'BK00068');
INSERT INTO BookCopy VALUES ('BC00357', 'GOOD', 'AVAILABLE', 'BK00044');
INSERT INTO BookCopy VALUES ('BC00358', 'GOOD', 'AVAILABLE', 'BK00059');
INSERT INTO BookCopy VALUES ('BC00359', 'GOOD', 'AVAILABLE', 'BK00009');
INSERT INTO BookCopy VALUES ('BC00360', 'GOOD', 'AVAILABLE', 'BK00107');
INSERT INTO BookCopy VALUES ('BC00361', 'GOOD', 'AVAILABLE', 'BK00039');
INSERT INTO BookCopy VALUES ('BC00362', 'GOOD', 'AVAILABLE', 'BK00036');
INSERT INTO BookCopy VALUES ('BC00363', 'GOOD', 'AVAILABLE', 'BK00080');
INSERT INTO BookCopy VALUES ('BC00364', 'GOOD', 'AVAILABLE', 'BK00015');
INSERT INTO BookCopy VALUES ('BC00365', 'GOOD', 'AVAILABLE', 'BK00029');
INSERT INTO BookCopy VALUES ('BC00366', 'GOOD', 'RESERVED', 'BK00130');
INSERT INTO BookCopy VALUES ('BC00367', 'GOOD', 'RESERVED', 'BK00005');
INSERT INTO BookCopy VALUES ('BC00368', 'GOOD', 'AVAILABLE', 'BK00135');
INSERT INTO BookCopy VALUES ('BC00369', 'GOOD', 'RESERVED', 'BK00124');
INSERT INTO BookCopy VALUES ('BC00370', 'GOOD', 'RESERVED', 'BK00010');
INSERT INTO BookCopy VALUES ('BC00371', 'GOOD', 'AVAILABLE', 'BK00114');
INSERT INTO BookCopy VALUES ('BC00372', 'LOST', 'UNAVAILABLE', 'BK00009');
INSERT INTO BookCopy VALUES ('BC00373', 'GOOD', 'AVAILABLE', 'BK00106');
INSERT INTO BookCopy VALUES ('BC00374', 'LOST', 'UNAVAILABLE', 'BK00071');
INSERT INTO BookCopy VALUES ('BC00375', 'GOOD', 'BORROWED', 'BK00103');
INSERT INTO BookCopy VALUES ('BC00376', 'GOOD', 'AVAILABLE', 'BK00047');
INSERT INTO BookCopy VALUES ('BC00377', 'GOOD', 'AVAILABLE', 'BK00013');
INSERT INTO BookCopy VALUES ('BC00378', 'GOOD', 'AVAILABLE', 'BK00113');
INSERT INTO BookCopy VALUES ('BC00379', 'GOOD', 'BORROWED', 'BK00144');
INSERT INTO BookCopy VALUES ('BC00380', 'GOOD', 'AVAILABLE', 'BK00095');
INSERT INTO BookCopy VALUES ('BC00381', 'GOOD', 'RESERVED', 'BK00061');
INSERT INTO BookCopy VALUES ('BC00382', 'GOOD', 'RESERVED', 'BK00065');
INSERT INTO BookCopy VALUES ('BC00383', 'GOOD', 'AVAILABLE', 'BK00036');
INSERT INTO BookCopy VALUES ('BC00384', 'GOOD', 'AVAILABLE', 'BK00030');
INSERT INTO BookCopy VALUES ('BC00385', 'GOOD', 'AVAILABLE', 'BK00073');
INSERT INTO BookCopy VALUES ('BC00386', 'GOOD', 'AVAILABLE', 'BK00111');
INSERT INTO BookCopy VALUES ('BC00387', 'GOOD', 'AVAILABLE', 'BK00149');
INSERT INTO BookCopy VALUES ('BC00388', 'GOOD', 'AVAILABLE', 'BK00014');
INSERT INTO BookCopy VALUES ('BC00389', 'GOOD', 'AVAILABLE', 'BK00119');
INSERT INTO BookCopy VALUES ('BC00390', 'LOST', 'UNAVAILABLE', 'BK00022');
INSERT INTO BookCopy VALUES ('BC00391', 'GOOD', 'AVAILABLE', 'BK00098');
INSERT INTO BookCopy VALUES ('BC00392', 'GOOD', 'AVAILABLE', 'BK00141');
INSERT INTO BookCopy VALUES ('BC00393', 'GOOD', 'AVAILABLE', 'BK00012');
INSERT INTO BookCopy VALUES ('BC00394', 'GOOD', 'AVAILABLE', 'BK00121');
INSERT INTO BookCopy VALUES ('BC00395', 'GOOD', 'AVAILABLE', 'BK00077');
INSERT INTO BookCopy VALUES ('BC00396', 'GOOD', 'AVAILABLE', 'BK00007');
INSERT INTO BookCopy VALUES ('BC00397', 'GOOD', 'AVAILABLE', 'BK00134');
INSERT INTO BookCopy VALUES ('BC00398', 'GOOD', 'AVAILABLE', 'BK00072');
INSERT INTO BookCopy VALUES ('BC00399', 'GOOD', 'AVAILABLE', 'BK00031');
INSERT INTO BookCopy VALUES ('BC00400', 'GOOD', 'AVAILABLE', 'BK00067');
INSERT INTO BookCopy VALUES ('BC00401', 'GOOD', 'AVAILABLE', 'BK00077');
INSERT INTO BookCopy VALUES ('BC00402', 'GOOD', 'AVAILABLE', 'BK00003');
INSERT INTO BookCopy VALUES ('BC00403', 'GOOD', 'AVAILABLE', 'BK00057');
INSERT INTO BookCopy VALUES ('BC00404', 'LOST', 'UNAVAILABLE', 'BK00065');
INSERT INTO BookCopy VALUES ('BC00405', 'GOOD', 'AVAILABLE', 'BK00057');
INSERT INTO BookCopy VALUES ('BC00406', 'GOOD', 'AVAILABLE', 'BK00101');
INSERT INTO BookCopy VALUES ('BC00407', 'GOOD', 'AVAILABLE', 'BK00007');
INSERT INTO BookCopy VALUES ('BC00408', 'GOOD', 'AVAILABLE', 'BK00128');
INSERT INTO BookCopy VALUES ('BC00409', 'GOOD', 'AVAILABLE', 'BK00026');
INSERT INTO BookCopy VALUES ('BC00410', 'GOOD', 'AVAILABLE', 'BK00079');
INSERT INTO BookCopy VALUES ('BC00411', 'GOOD', 'AVAILABLE', 'BK00102');
INSERT INTO BookCopy VALUES ('BC00412', 'GOOD', 'AVAILABLE', 'BK00089');
INSERT INTO BookCopy VALUES ('BC00413', 'GOOD', 'AVAILABLE', 'BK00049');
INSERT INTO BookCopy VALUES ('BC00414', 'GOOD', 'AVAILABLE', 'BK00100');
INSERT INTO BookCopy VALUES ('BC00415', 'GOOD', 'BORROWED', 'BK00077');
INSERT INTO BookCopy VALUES ('BC00416', 'GOOD', 'AVAILABLE', 'BK00016');
INSERT INTO BookCopy VALUES ('BC00417', 'GOOD', 'BORROWED', 'BK00142');
INSERT INTO BookCopy VALUES ('BC00418', 'GOOD', 'AVAILABLE', 'BK00139');
INSERT INTO BookCopy VALUES ('BC00419', 'GOOD', 'AVAILABLE', 'BK00104');
INSERT INTO BookCopy VALUES ('BC00420', 'GOOD', 'AVAILABLE', 'BK00009');
INSERT INTO BookCopy VALUES ('BC00421', 'GOOD', 'AVAILABLE', 'BK00069');
INSERT INTO BookCopy VALUES ('BC00422', 'GOOD', 'AVAILABLE', 'BK00125');
INSERT INTO BookCopy VALUES ('BC00423', 'GOOD', 'AVAILABLE', 'BK00069');
INSERT INTO BookCopy VALUES ('BC00424', 'GOOD', 'AVAILABLE', 'BK00129');
INSERT INTO BookCopy VALUES ('BC00425', 'LOST', 'UNAVAILABLE', 'BK00097');
INSERT INTO BookCopy VALUES ('BC00426', 'GOOD', 'AVAILABLE', 'BK00112');
INSERT INTO BookCopy VALUES ('BC00427', 'GOOD', 'AVAILABLE', 'BK00104');
INSERT INTO BookCopy VALUES ('BC00428', 'GOOD', 'AVAILABLE', 'BK00059');
INSERT INTO BookCopy VALUES ('BC00429', 'GOOD', 'AVAILABLE', 'BK00033');
INSERT INTO BookCopy VALUES ('BC00430', 'HEAVYDMG', 'UNAVAILABLE', 'BK00147');
INSERT INTO BookCopy VALUES ('BC00431', 'GOOD', 'AVAILABLE', 'BK00086');
INSERT INTO BookCopy VALUES ('BC00432', 'GOOD', 'AVAILABLE', 'BK00069');
INSERT INTO BookCopy VALUES ('BC00433', 'GOOD', 'BORROWED', 'BK00032');
INSERT INTO BookCopy VALUES ('BC00434', 'LOST', 'UNAVAILABLE', 'BK00093');
INSERT INTO BookCopy VALUES ('BC00435', 'GOOD', 'AVAILABLE', 'BK00075');
INSERT INTO BookCopy VALUES ('BC00436', 'GOOD', 'AVAILABLE', 'BK00022');
INSERT INTO BookCopy VALUES ('BC00437', 'GOOD', 'AVAILABLE', 'BK00127');
INSERT INTO BookCopy VALUES ('BC00438', 'GOOD', 'AVAILABLE', 'BK00004');
INSERT INTO BookCopy VALUES ('BC00439', 'GOOD', 'AVAILABLE', 'BK00063');
INSERT INTO BookCopy VALUES ('BC00440', 'GOOD', 'AVAILABLE', 'BK00049');
INSERT INTO BookCopy VALUES ('BC00441', 'GOOD', 'AVAILABLE', 'BK00089');
INSERT INTO BookCopy VALUES ('BC00442', 'GOOD', 'AVAILABLE', 'BK00050');
INSERT INTO BookCopy VALUES ('BC00443', 'GOOD', 'AVAILABLE', 'BK00066');
INSERT INTO BookCopy VALUES ('BC00444', 'GOOD', 'AVAILABLE', 'BK00080');
INSERT INTO BookCopy VALUES ('BC00445', 'LOST', 'UNAVAILABLE', 'BK00072');
INSERT INTO BookCopy VALUES ('BC00446', 'GOOD', 'AVAILABLE', 'BK00117');
INSERT INTO BookCopy VALUES ('BC00447', 'GOOD', 'AVAILABLE', 'BK00047');
INSERT INTO BookCopy VALUES ('BC00448', 'GOOD', 'AVAILABLE', 'BK00096');
INSERT INTO BookCopy VALUES ('BC00449', 'GOOD', 'AVAILABLE', 'BK00149');
INSERT INTO BookCopy VALUES ('BC00450', 'LOST', 'UNAVAILABLE', 'BK00057');
INSERT INTO BookCopy VALUES ('BC00451', 'HEAVYDMG', 'UNAVAILABLE', 'BK00140');
INSERT INTO BookCopy VALUES ('BC00452', 'GOOD', 'AVAILABLE', 'BK00109');
INSERT INTO BookCopy VALUES ('BC00453', 'GOOD', 'AVAILABLE', 'BK00148');
INSERT INTO BookCopy VALUES ('BC00454', 'GOOD', 'RESERVED', 'BK00106');
INSERT INTO BookCopy VALUES ('BC00455', 'GOOD', 'AVAILABLE', 'BK00078');
INSERT INTO BookCopy VALUES ('BC00456', 'GOOD', 'AVAILABLE', 'BK00028');
INSERT INTO BookCopy VALUES ('BC00457', 'GOOD', 'AVAILABLE', 'BK00112');
INSERT INTO BookCopy VALUES ('BC00458', 'GOOD', 'RESERVED', 'BK00070');
INSERT INTO BookCopy VALUES ('BC00459', 'GOOD', 'BORROWED', 'BK00107');
INSERT INTO BookCopy VALUES ('BC00460', 'GOOD', 'AVAILABLE', 'BK00101');
INSERT INTO BookCopy VALUES ('BC00461', 'GOOD', 'AVAILABLE', 'BK00107');
INSERT INTO BookCopy VALUES ('BC00462', 'GOOD', 'AVAILABLE', 'BK00003');
INSERT INTO BookCopy VALUES ('BC00463', 'GOOD', 'AVAILABLE', 'BK00092');
INSERT INTO BookCopy VALUES ('BC00464', 'GOOD', 'BORROWED', 'BK00127');
INSERT INTO BookCopy VALUES ('BC00465', 'GOOD', 'AVAILABLE', 'BK00024');
INSERT INTO BookCopy VALUES ('BC00466', 'GOOD', 'AVAILABLE', 'BK00017');
INSERT INTO BookCopy VALUES ('BC00467', 'GOOD', 'AVAILABLE', 'BK00028');
INSERT INTO BookCopy VALUES ('BC00468', 'GOOD', 'AVAILABLE', 'BK00004');
INSERT INTO BookCopy VALUES ('BC00469', 'GOOD', 'AVAILABLE', 'BK00049');
INSERT INTO BookCopy VALUES ('BC00470', 'GOOD', 'AVAILABLE', 'BK00141');
INSERT INTO BookCopy VALUES ('BC00471', 'GOOD', 'AVAILABLE', 'BK00132');
INSERT INTO BookCopy VALUES ('BC00472', 'GOOD', 'AVAILABLE', 'BK00050');
INSERT INTO BookCopy VALUES ('BC00473', 'GOOD', 'AVAILABLE', 'BK00132');
INSERT INTO BookCopy VALUES ('BC00474', 'GOOD', 'AVAILABLE', 'BK00134');
INSERT INTO BookCopy VALUES ('BC00475', 'GOOD', 'AVAILABLE', 'BK00013');
INSERT INTO BookCopy VALUES ('BC00476', 'GOOD', 'AVAILABLE', 'BK00086');
INSERT INTO BookCopy VALUES ('BC00477', 'GOOD', 'RESERVED', 'BK00045');
INSERT INTO BookCopy VALUES ('BC00478', 'GOOD', 'AVAILABLE', 'BK00076');
INSERT INTO BookCopy VALUES ('BC00479', 'GOOD', 'RESERVED', 'BK00095');
INSERT INTO BookCopy VALUES ('BC00480', 'GOOD', 'AVAILABLE', 'BK00010');
INSERT INTO BookCopy VALUES ('BC00481', 'GOOD', 'AVAILABLE', 'BK00137');
INSERT INTO BookCopy VALUES ('BC00482', 'GOOD', 'RESERVED', 'BK00088');
INSERT INTO BookCopy VALUES ('BC00483', 'GOOD', 'AVAILABLE', 'BK00018');
INSERT INTO BookCopy VALUES ('BC00484', 'LOST', 'UNAVAILABLE', 'BK00027');
INSERT INTO BookCopy VALUES ('BC00485', 'GOOD', 'AVAILABLE', 'BK00103');
INSERT INTO BookCopy VALUES ('BC00486', 'GOOD', 'AVAILABLE', 'BK00112');
INSERT INTO BookCopy VALUES ('BC00487', 'GOOD', 'AVAILABLE', 'BK00123');
INSERT INTO BookCopy VALUES ('BC00488', 'GOOD', 'AVAILABLE', 'BK00096');
INSERT INTO BookCopy VALUES ('BC00489', 'GOOD', 'AVAILABLE', 'BK00122');
INSERT INTO BookCopy VALUES ('BC00490', 'LOST', 'UNAVAILABLE', 'BK00014');
INSERT INTO BookCopy VALUES ('BC00491', 'GOOD', 'AVAILABLE', 'BK00013');
INSERT INTO BookCopy VALUES ('BC00492', 'GOOD', 'AVAILABLE', 'BK00101');
INSERT INTO BookCopy VALUES ('BC00493', 'GOOD', 'AVAILABLE', 'BK00047');
INSERT INTO BookCopy VALUES ('BC00494', 'GOOD', 'AVAILABLE', 'BK00146');
INSERT INTO BookCopy VALUES ('BC00495', 'GOOD', 'AVAILABLE', 'BK00076');
INSERT INTO BookCopy VALUES ('BC00496', 'GOOD', 'AVAILABLE', 'BK00096');
INSERT INTO BookCopy VALUES ('BC00497', 'GOOD', 'AVAILABLE', 'BK00143');
INSERT INTO BookCopy VALUES ('BC00498', 'GOOD', 'AVAILABLE', 'BK00108');
INSERT INTO BookCopy VALUES ('BC00499', 'GOOD', 'AVAILABLE', 'BK00002');
INSERT INTO BookCopy VALUES ('BC00500', 'GOOD', 'AVAILABLE', 'BK00118');
INSERT INTO BookCopy VALUES ('BC00501', 'GOOD', 'BORROWED', 'BK00008');
