INSERT INTO BorrowDetails VALUES ('BR00001', 'BC00036', TO_DATE('2019-01-17', 'YYYY-MM-DD'), TO_DATE(' 2019-01-17', 'YYYY-MM-DD'), TO_DATE('2019-01-16', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00049', 'BC00057', TO_DATE('2020-06-16', 'YYYY-MM-DD'), TO_DATE('2020-06-23', 'YYYY-MM-DD'), TO_DATE('2020-06-23', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00050', 'BC00046', TO_DATE('2020-09-17', 'YYYY-MM-DD'), TO_DATE('2020-09-17', 'YYYY-MM-DD'), TO_DATE('2020-09-12', 'YYYY-MM-DD'), 'LOST', 'RETURNED', 'FN00056');
INSERT INTO BorrowDetails VALUES ('BR00050', 'BC00241', TO_DATE('2020-09-17', 'YYYY-MM-DD'), TO_DATE('2020-09-17', 'YYYY-MM-DD'), TO_DATE('2020-09-12', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00050', 'BC00179', TO_DATE('2020-09-17', 'YYYY-MM-DD'), TO_DATE('2020-09-17', 'YYYY-MM-DD'), TO_DATE('2020-09-22', 'YYYY-MM-DD'), 'LIGHTDMG', 'LATERETURN', 'FN00059');
INSERT INTO BorrowDetails VALUES ('BR00050', 'BC00043', TO_DATE('2020-09-17', 'YYYY-MM-DD'), TO_DATE('2020-09-17', 'YYYY-MM-DD'), TO_DATE('2020-09-12', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00050', 'BC00372', TO_DATE('2020-09-17', 'YYYY-MM-DD'), TO_DATE('2020-09-17', 'YYYY-MM-DD'), TO_DATE('2020-09-12', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00051', 'BC00265', TO_DATE('2020-11-18', 'YYYY-MM-DD'), TO_DATE('2020-11-18', 'YYYY-MM-DD'), TO_DATE('2020-11-18', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00052', 'BC00361', TO_DATE('2020-12-08', 'YYYY-MM-DD'), TO_DATE('2020-12-08', 'YYYY-MM-DD'), TO_DATE('2020-12-06', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00053', 'BC00450', TO_DATE('2021-01-15', 'YYYY-MM-DD'), TO_DATE('2021-01-15', 'YYYY-MM-DD'), TO_DATE('2021-01-13', 'YYYY-MM-DD'), 'LOST', 'RETURNED', 'FN00064');
INSERT INTO BorrowDetails VALUES ('BR00053', 'BC00282', TO_DATE('2021-01-15', 'YYYY-MM-DD'), TO_DATE('2021-01-15', 'YYYY-MM-DD'), TO_DATE('2021-01-13', 'YYYY-MM-DD'),'HEAVYDMG', 'RETURNED', 'FN00065');
INSERT INTO BorrowDetails VALUES ('BR00053', 'BC00405', TO_DATE('2021-01-15', 'YYYY-MM-DD'), TO_DATE('2021-01-15', 'YYYY-MM-DD'), TO_DATE('2021-01-13', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00054', 'BC00424', TO_DATE('2021-01-22', 'YYYY-MM-DD'), TO_DATE('2021-01-22', 'YYYY-MM-DD'), TO_DATE('2021-01-19', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00054', 'BC00050', TO_DATE('2021-01-22', 'YYYY-MM-DD'), TO_DATE('2021-01-22', 'YYYY-MM-DD'), TO_DATE('2021-01-19', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00055', 'BC00154', TO_DATE('2021-02-10', 'YYYY-MM-DD'), TO_DATE('2021-02-10', 'YYYY-MM-DD'), TO_DATE('2021-02-25', 'YYYY-MM-DD'), 'LOST', 'LATERETURN', 'FN00068');
INSERT INTO BorrowDetails VALUES ('BR00056', 'BC00248', TO_DATE('2021-03-20', 'YYYY-MM-DD'), TO_DATE('2021-03-20', 'YYYY-MM-DD'), TO_DATE('2021-03-15', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00056', 'BC00321', TO_DATE('2021-03-20', 'YYYY-MM-DD'), TO_DATE('2021-03-20', 'YYYY-MM-DD'), TO_DATE('2021-03-15', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00057', 'BC00223', TO_DATE('2021-03-30', 'YYYY-MM-DD'), TO_DATE('2021-03-30', 'YYYY-MM-DD'), TO_DATE('2021-03-30', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00057', 'BC00196', TO_DATE('2021-03-30', 'YYYY-MM-DD'), TO_DATE('2021-03-30', 'YYYY-MM-DD'), TO_DATE('2021-03-30', 'YYYY-MM-DD'), 'LIGHTDMG', 'RETURNED', 'FN00070');
INSERT INTO BorrowDetails VALUES ('BR00057', 'BC00267', TO_DATE('2021-03-30', 'YYYY-MM-DD'), TO_DATE('2021-03-30', 'YYYY-MM-DD'), TO_DATE('2021-03-30', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00058', 'BC00204', TO_DATE('2021-04-13', 'YYYY-MM-DD'), TO_DATE('2021-04-13', 'YYYY-MM-DD'), TO_DATE('2021-04-14', 'YYYY-MM-DD'), 'LIGHTDMG', 'LATERETURN', 'FN00071');
INSERT INTO BorrowDetails VALUES ('BR00059', 'BC00389', TO_DATE('2021-05-16', 'YYYY-MM-DD'), TO_DATE('2021-05-16', 'YYYY-MM-DD'), TO_DATE('2021-05-10', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00060', 'BC00059', TO_DATE('2021-06-18', 'YYYY-MM-DD'), TO_DATE('2021-06-18', 'YYYY-MM-DD'), TO_DATE('2021-06-17', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00060', 'BC00459', TO_DATE('2021-06-18', 'YYYY-MM-DD'), TO_DATE('2021-06-18', 'YYYY-MM-DD'), TO_DATE('2021-06-17', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00061', 'BC00455', TO_DATE('2021-06-21', 'YYYY-MM-DD'), TO_DATE('2021-06-28', 'YYYY-MM-DD'), TO_DATE('2021-06-24', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00061', 'BC00363', TO_DATE('2021-06-21', 'YYYY-MM-DD'), TO_DATE('2021-06-28', 'YYYY-MM-DD'), TO_DATE('2021-06-24', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00062', 'BC00257', TO_DATE('2021-07-26', 'YYYY-MM-DD'), TO_DATE('2021-07-26', 'YYYY-MM-DD'), TO_DATE('2021-07-22', 'YYYY-MM-DD'), 'LIGHTDMG', 'RETURNED', 'FN00078');
INSERT INTO BorrowDetails VALUES ('BR00062', 'BC00147', TO_DATE('2021-07-26', 'YYYY-MM-DD'), TO_DATE('2021-07-26', 'YYYY-MM-DD'), TO_DATE('2021-07-22', 'YYYY-MM-DD'), 'LOST', 'RETURNED', 'FN00079');
INSERT INTO BorrowDetails VALUES ('BR00063', 'BC00321', TO_DATE('2021-09-01', 'YYYY-MM-DD'), TO_DATE('2021-09-01', 'YYYY-MM-DD'), TO_DATE('2021-09-02', 'YYYY-MM-DD'), 'LIGHTDMG', 'LATERETURN', 'FN00081');
INSERT INTO BorrowDetails VALUES ('BR00063', 'BC00320', TO_DATE('2021-09-01', 'YYYY-MM-DD'), TO_DATE('2021-09-01', 'YYYY-MM-DD'), TO_DATE('2021-09-02', 'YYYY-MM-DD'), 'HEAVYDMG', 'LATERETURN', 'FN00082');
INSERT INTO BorrowDetails VALUES ('BR00063', 'BC00499', TO_DATE('2021-09-01', 'YYYY-MM-DD'), TO_DATE('2021-09-01', 'YYYY-MM-DD'), TO_DATE('2021-09-01', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00063', 'BC00195', TO_DATE('2021-09-01', 'YYYY-MM-DD'), TO_DATE('2021-09-01', 'YYYY-MM-DD'), TO_DATE('2021-09-01', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00063', 'BC00289', TO_DATE('2021-09-01', 'YYYY-MM-DD'), TO_DATE('2021-09-01', 'YYYY-MM-DD'), TO_DATE('2021-09-01', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00063', 'BC00198', TO_DATE('2021-09-01', 'YYYY-MM-DD'), TO_DATE('2021-09-01', 'YYYY-MM-DD'), TO_DATE('2021-09-01', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00064', 'BC00490', TO_DATE('2021-09-05', 'YYYY-MM-DD'), TO_DATE('2021-09-05', 'YYYY-MM-DD'), TO_DATE('2021-09-04', 'YYYY-MM-DD'), 'LOST', 'RETURNED', 'FN00083');
INSERT INTO BorrowDetails VALUES ('BR00065', 'BC00283', TO_DATE('2021-09-08', 'YYYY-MM-DD'), TO_DATE('2021-09-08', 'YYYY-MM-DD'), TO_DATE('2021-09-11', 'YYYY-MM-DD'), 'GOOD', 'LATERETURN', 'FN00086');
INSERT INTO BorrowDetails VALUES ('BR00066', 'BC00190', TO_DATE('2021-09-23', 'YYYY-MM-DD'), TO_DATE('2021-09-23', 'YYYY-MM-DD'), TO_DATE('2021-09-23', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00066', 'BC00470', TO_DATE('2021-09-23', 'YYYY-MM-DD'), TO_DATE('2021-09-23', 'YYYY-MM-DD'), TO_DATE('2021-09-23', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00067', 'BC00484', TO_DATE('2021-10-22', 'YYYY-MM-DD'), TO_DATE('2021-10-29', 'YYYY-MM-DD'), TO_DATE('2021-11-12', 'YYYY-MM-DD'), 'LOST', 'LATERETURN', 'FN00091');
INSERT INTO BorrowDetails VALUES ('BR00067', 'BC00422', TO_DATE('2021-10-22', 'YYYY-MM-DD'), TO_DATE('2021-10-29', 'YYYY-MM-DD'), TO_DATE('2021-10-30', 'YYYY-MM-DD'), 'LIGHTDMG', 'LATERETURN', 'FN00088');
INSERT INTO BorrowDetails VALUES ('BR00067', 'BC00254', TO_DATE('2021-10-22', 'YYYY-MM-DD'), TO_DATE('2021-10-29', 'YYYY-MM-DD'), TO_DATE('2021-10-30', 'YYYY-MM-DD'), 'LIGHTDMG', 'LATERETURN', 'FN00089');
INSERT INTO BorrowDetails VALUES ('BR00068', 'BC00189', TO_DATE('2021-10-30', 'YYYY-MM-DD'), TO_DATE('2021-10-30', 'YYYY-MM-DD'), TO_DATE('2021-10-30', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00068', 'BC00267', TO_DATE('2021-10-30', 'YYYY-MM-DD'), TO_DATE('2021-11-06', 'YYYY-MM-DD'), TO_DATE('2021-10-30', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00068', 'BC00099', TO_DATE('2021-10-30', 'YYYY-MM-DD'), TO_DATE('2021-10-30', 'YYYY-MM-DD'), TO_DATE('2021-10-30', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00068', 'BC00043', TO_DATE('2021-10-30', 'YYYY-MM-DD'), TO_DATE('2021-10-30', 'YYYY-MM-DD'), TO_DATE('2021-10-30', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00068', 'BC00311', TO_DATE('2021-10-30', 'YYYY-MM-DD'), TO_DATE('2021-10-30', 'YYYY-MM-DD'), TO_DATE('2021-10-30', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00068', 'BC00191', TO_DATE('2021-10-30', 'YYYY-MM-DD'), TO_DATE('2021-10-30', 'YYYY-MM-DD'), TO_DATE('2021-10-30', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00068', 'BC00038', TO_DATE('2021-10-30', 'YYYY-MM-DD'), TO_DATE('2021-11-06', 'YYYY-MM-DD'), TO_DATE('2021-11-13', 'YYYY-MM-DD'), 'LIGHTDMG', 'LATERETURN', 'FN00092');
INSERT INTO BorrowDetails VALUES ('BR00069', 'BC00392', TO_DATE('2021-11-28', 'YYYY-MM-DD'), TO_DATE('2021-11-28', 'YYYY-MM-DD'), TO_DATE('2021-11-25', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00069', 'BC00322', TO_DATE('2021-11-28', 'YYYY-MM-DD'), TO_DATE('2021-12-12', 'YYYY-MM-DD'), TO_DATE('2021-12-19', 'YYYY-MM-DD'), 'LIGHTDMG', 'LATERETURN', 'FN00095');
INSERT INTO BorrowDetails VALUES ('BR00069', 'BC00166', TO_DATE('2021-11-28', 'YYYY-MM-DD'), TO_DATE('2021-12-05', 'YYYY-MM-DD'), TO_DATE('2021-12-05', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00069', 'BC00124', TO_DATE('2021-11-28', 'YYYY-MM-DD'), TO_DATE('2021-12-05', 'YYYY-MM-DD'), TO_DATE('2021-12-05', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00069', 'BC00022', TO_DATE('2021-11-28', 'YYYY-MM-DD'), TO_DATE('2021-12-05', 'YYYY-MM-DD'), TO_DATE('2021-12-05', 'YYYY-MM-DD'), 'LOST', 'RETURNED', 'FN00093');
INSERT INTO BorrowDetails VALUES ('BR00069', 'BC00290', TO_DATE('2021-11-28', 'YYYY-MM-DD'), TO_DATE('2021-11-28', 'YYYY-MM-DD'), TO_DATE('2021-11-25', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00069', 'BC00118', TO_DATE('2021-11-28', 'YYYY-MM-DD'), TO_DATE('2021-12-05', 'YYYY-MM-DD'), TO_DATE('2021-12-05', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00069', 'BC00333', TO_DATE('2021-11-28', 'YYYY-MM-DD'), TO_DATE('2021-11-28', 'YYYY-MM-DD'), TO_DATE('2021-11-25', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00069', 'BC00034', TO_DATE('2021-11-28', 'YYYY-MM-DD'), TO_DATE('2021-11-28', 'YYYY-MM-DD'), TO_DATE('2021-11-25', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00070', 'BC00428', TO_DATE('2021-12-07', 'YYYY-MM-DD'), TO_DATE('2021-12-07', 'YYYY-MM-DD'), TO_DATE('2021-12-05', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00070', 'BC00053', TO_DATE('2021-12-07', 'YYYY-MM-DD'), TO_DATE('2021-12-07', 'YYYY-MM-DD'), TO_DATE('2021-12-05', 'YYYY-MM-DD'), 'LOST', 'RETURNED', 'FN00094');
INSERT INTO BorrowDetails VALUES ('BR00071', 'BC00474', TO_DATE('2021-12-16', 'YYYY-MM-DD'), TO_DATE('2021-12-16', 'YYYY-MM-DD'), TO_DATE('2021-12-13', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00071', 'BC00452', TO_DATE('2021-12-16', 'YYYY-MM-DD'), TO_DATE('2021-12-16', 'YYYY-MM-DD'), TO_DATE('2021-12-13', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00072', 'BC00189', TO_DATE('2021-12-23', 'YYYY-MM-DD'), TO_DATE('2021-12-23', 'YYYY-MM-DD'), TO_DATE('2021-12-20', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00073', 'BC00097', TO_DATE('2021-12-31', 'YYYY-MM-DD'), TO_DATE('2021-12-31', 'YYYY-MM-DD'), TO_DATE('2021-12-25', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00074', 'BC00366', TO_DATE('2022-01-10', 'YYYY-MM-DD'), TO_DATE('2022-01-17', 'YYYY-MM-DD'), TO_DATE('2022-01-15', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00074', 'BC00273', TO_DATE('2022-01-10', 'YYYY-MM-DD'), TO_DATE('2022-01-17', 'YYYY-MM-DD'), TO_DATE('2022-01-15', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00075', 'BC00177', TO_DATE('2022-01-11', 'YYYY-MM-DD'), TO_DATE('2022-01-11', 'YYYY-MM-DD'), TO_DATE('2022-01-10', 'YYYY-MM-DD'), 'LIGHTDMG', 'RETURNED', 'FN00099');
INSERT INTO BorrowDetails VALUES ('BR00075', 'BC00332', TO_DATE('2022-01-11', 'YYYY-MM-DD'), TO_DATE('2022-01-11', 'YYYY-MM-DD'), TO_DATE('2022-01-10', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00076', 'BC00472', TO_DATE('2022-02-01', 'YYYY-MM-DD'), TO_DATE('2022-02-01', 'YYYY-MM-DD'), TO_DATE('2022-01-28', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00077', 'BC00335', TO_DATE('2022-02-05', 'YYYY-MM-DD'), TO_DATE('2022-02-19', 'YYYY-MM-DD'), TO_DATE('2022-01-28', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00077', 'BC00445', TO_DATE('2022-02-05', 'YYYY-MM-DD'), TO_DATE('2022-02-19', 'YYYY-MM-DD'), TO_DATE('2022-01-28', 'YYYY-MM-DD'), 'LOST', 'RETURNED', 'FN00100');
INSERT INTO BorrowDetails VALUES ('BR00077', 'BC00183', TO_DATE('2022-02-05', 'YYYY-MM-DD'), TO_DATE('2022-02-19', 'YYYY-MM-DD'), TO_DATE('2022-01-28', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00078', 'BC00315', TO_DATE('2022-02-07', 'YYYY-MM-DD'), TO_DATE('2022-02-14', 'YYYY-MM-DD'), TO_DATE('2022-01-12', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00078', 'BC00152', TO_DATE('2022-02-07', 'YYYY-MM-DD'), TO_DATE('2022-02-14', 'YYYY-MM-DD'), TO_DATE('2022-01-12', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00079', 'BC00273', TO_DATE('2022-02-21', 'YYYY-MM-DD'), TO_DATE('2022-02-21', 'YYYY-MM-DD'), TO_DATE('2022-01-16', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00080', 'BC00296', TO_DATE('2022-02-23', 'YYYY-MM-DD'), TO_DATE('2022-02-23', 'YYYY-MM-DD'), TO_DATE('2022-01-22', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00080', 'BC00233', TO_DATE('2022-02-23', 'YYYY-MM-DD'), TO_DATE('2022-02-23', 'YYYY-MM-DD'), TO_DATE('2022-02-24', 'YYYY-MM-DD'), 'HEAVYDMG', 'LATERETURN', 'FN00102');
INSERT INTO BorrowDetails VALUES ('BR00080', 'BC00310', TO_DATE('2022-02-23', 'YYYY-MM-DD'), TO_DATE('2022-02-23', 'YYYY-MM-DD'), TO_DATE('2022-01-22', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00081', 'BC00088', TO_DATE('2022-03-03', 'YYYY-MM-DD'), TO_DATE('2022-03-03', 'YYYY-MM-DD'), TO_DATE('2022-03-01', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00081', 'BC00112', TO_DATE('2022-03-03', 'YYYY-MM-DD'), TO_DATE('2022-03-03', 'YYYY-MM-DD'), TO_DATE('2022-03-01', 'YYYY-MM-DD'), 'LIGHTDMG', 'RETURNED', 'FN00104');
INSERT INTO BorrowDetails VALUES ('BR00082', 'BC00032', TO_DATE('2022-03-04', 'YYYY-MM-DD'), TO_DATE('2022-03-04', 'YYYY-MM-DD'), TO_DATE('2022-02-26', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00082', 'BC00003', TO_DATE('2022-03-04', 'YYYY-MM-DD'), TO_DATE('2022-03-04', 'YYYY-MM-DD'), TO_DATE('2022-02-26', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00082', 'BC00165', TO_DATE('2022-03-04', 'YYYY-MM-DD'), TO_DATE('2022-03-11', 'YYYY-MM-DD'), TO_DATE('2022-03-16', 'YYYY-MM-DD'), 'LIGHTDMG', 'LATERETURN', 'FN00106');
INSERT INTO BorrowDetails VALUES ('BR00082', 'BC00413', TO_DATE('2022-03-04', 'YYYY-MM-DD'), TO_DATE('2022-03-04', 'YYYY-MM-DD'), TO_DATE('2022-02-26', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00082', 'BC00050', TO_DATE('2022-03-04', 'YYYY-MM-DD'), TO_DATE('2022-03-04', 'YYYY-MM-DD'), TO_DATE('2022-02-26', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00082', 'BC00430', TO_DATE('2022-03-04', 'YYYY-MM-DD'), TO_DATE('2022-03-11', 'YYYY-MM-DD'), TO_DATE('2022-03-18', 'YYYY-MM-DD'), 'HEAVYDMG', 'LATERETURN', 'FN00108');
INSERT INTO BorrowDetails VALUES ('BR00082', 'BC00327', TO_DATE('2022-03-04', 'YYYY-MM-DD'), TO_DATE('2022-03-04', 'YYYY-MM-DD'), TO_DATE('2022-02-26', 'YYYY-MM-DD'), 'LIGHTDMG', 'RETURNED', 'FN00103');
INSERT INTO BorrowDetails VALUES ('BR00082', 'BC00352', TO_DATE('2022-03-04', 'YYYY-MM-DD'), TO_DATE('2022-03-04', 'YYYY-MM-DD'), TO_DATE('2022-02-26', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00082', 'BC00174', TO_DATE('2022-03-04', 'YYYY-MM-DD'), TO_DATE('2022-03-11', 'YYYY-MM-DD'), TO_DATE('2022-03-16', 'YYYY-MM-DD'), 'GOOD', 'LATERETURN', 'FN00107');
INSERT INTO BorrowDetails VALUES ('BR00082', 'BC00167', TO_DATE('2022-03-04', 'YYYY-MM-DD'), TO_DATE('2022-03-04', 'YYYY-MM-DD'), TO_DATE('2022-02-26', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00083', 'BC00122', TO_DATE('2022-03-09', 'YYYY-MM-DD'), TO_DATE('2022-03-09', 'YYYY-MM-DD'), TO_DATE('2022-03-06', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00083', 'BC00139', TO_DATE('2022-03-09', 'YYYY-MM-DD'), TO_DATE('2022-03-09', 'YYYY-MM-DD'), TO_DATE('2022-03-03', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00084', 'BC00273', TO_DATE('2022-03-19', 'YYYY-MM-DD'), TO_DATE('2022-03-19', 'YYYY-MM-DD'), TO_DATE('2022-03-13', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00085', 'BC00402', TO_DATE('2022-03-30', 'YYYY-MM-DD'), TO_DATE('2022-03-30', 'YYYY-MM-DD'), TO_DATE('2022-03-28', 'YYYY-MM-DD'), 'LIGHTDMG', 'RETURNED', 'FN00109');
INSERT INTO BorrowDetails VALUES ('BR00085', 'BC00217', TO_DATE('2022-03-30', 'YYYY-MM-DD'), TO_DATE('2022-04-06', 'YYYY-MM-DD'), TO_DATE('2022-04-05', 'YYYY-MM-DD'), 'HEAVYDMG', 'RETURNED', 'FN00110');
INSERT INTO BorrowDetails VALUES ('BR00085', 'BC00274', TO_DATE('2022-03-30', 'YYYY-MM-DD'), TO_DATE('2022-03-30', 'YYYY-MM-DD'), TO_DATE('2022-03-28', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00085', 'BC00211', TO_DATE('2022-03-30', 'YYYY-MM-DD'), TO_DATE('2022-03-30', 'YYYY-MM-DD'), TO_DATE('2022-03-28', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00085', 'BC00381', TO_DATE('2022-03-30', 'YYYY-MM-DD'), TO_DATE('2022-03-30', 'YYYY-MM-DD'), TO_DATE('2022-03-28', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00085', 'BC00273', TO_DATE('2022-03-30', 'YYYY-MM-DD'), TO_DATE('2022-03-30', 'YYYY-MM-DD'), TO_DATE('2022-03-28', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00086', 'BC00133', TO_DATE('2022-04-05', 'YYYY-MM-DD'), TO_DATE('2022-04-05', 'YYYY-MM-DD'), TO_DATE('2022-04-08', 'YYYY-MM-DD'), 'GOOD', 'LATERETURN', 'FN00112');
INSERT INTO BorrowDetails VALUES ('BR00086', 'BC00183', TO_DATE('2022-04-05', 'YYYY-MM-DD'), TO_DATE('2022-04-05', 'YYYY-MM-DD'), TO_DATE('2022-04-03', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00086', 'BC00021', TO_DATE('2022-04-05', 'YYYY-MM-DD'), TO_DATE('2022-04-05', 'YYYY-MM-DD'), TO_DATE('2022-04-03', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
